,class,filename,split
0,0.0,_F_0silos_256-0-0--6-15--1195-31353.png,train
1,0.0,_F_90silos_256-0-0--6-15--1195-31353.png,train
2,0.0,_F_180silos_256-0-0--6-15--1195-31353.png,train
3,0.0,_F_270silos_256-0-0--6-15--1195-31353.png,train
4,0.0,_T_0silos_256-0-0--6-15--1195-31353.png,train
5,0.0,_T_90silos_256-0-0--6-15--1195-31353.png,train
6,0.0,_T_180silos_256-0-0--6-15--1195-31353.png,train
7,0.0,_T_270silos_256-0-0--6-15--1195-31353.png,train
8,0.0,_F_0silos_256-0-0--6-15-283-30628.png,train
9,0.0,_F_90silos_256-0-0--6-15-283-30628.png,train
10,0.0,_F_180silos_256-0-0--6-15-283-30628.png,train
11,0.0,_F_270silos_256-0-0--6-15-283-30628.png,train
12,0.0,_T_0silos_256-0-0--6-15-283-30628.png,train
13,0.0,_T_90silos_256-0-0--6-15-283-30628.png,train
14,0.0,_T_180silos_256-0-0--6-15-283-30628.png,train
15,0.0,_T_270silos_256-0-0--6-15-283-30628.png,train
16,0.0,_F_0silos_256-0-0--6-15--404-30011.png,train
17,0.0,_F_90silos_256-0-0--6-15--404-30011.png,train
18,0.0,_F_180silos_256-0-0--6-15--404-30011.png,train
19,0.0,_F_270silos_256-0-0--6-15--404-30011.png,train
20,0.0,_T_0silos_256-0-0--6-15--404-30011.png,train
21,0.0,_T_90silos_256-0-0--6-15--404-30011.png,train
22,0.0,_T_180silos_256-0-0--6-15--404-30011.png,train
23,0.0,_T_270silos_256-0-0--6-15--404-30011.png,train
24,0.0,_F_0silos_256-0-0--6-15--423-29983.png,train
25,0.0,_F_90silos_256-0-0--6-15--423-29983.png,train
26,0.0,_F_180silos_256-0-0--6-15--423-29983.png,train
27,0.0,_F_270silos_256-0-0--6-15--423-29983.png,train
28,0.0,_T_0silos_256-0-0--6-15--423-29983.png,train
29,0.0,_T_90silos_256-0-0--6-15--423-29983.png,train
30,0.0,_T_180silos_256-0-0--6-15--423-29983.png,train
31,0.0,_T_270silos_256-0-0--6-15--423-29983.png,train
32,0.0,_F_0silos_256-0-0--6-15-931-30584.png,train
33,0.0,_F_90silos_256-0-0--6-15-931-30584.png,train
34,0.0,_F_180silos_256-0-0--6-15-931-30584.png,train
35,0.0,_F_270silos_256-0-0--6-15-931-30584.png,train
36,0.0,_T_0silos_256-0-0--6-15-931-30584.png,train
37,0.0,_T_90silos_256-0-0--6-15-931-30584.png,train
38,0.0,_T_180silos_256-0-0--6-15-931-30584.png,train
39,0.0,_T_270silos_256-0-0--6-15-931-30584.png,train
40,0.0,_F_0silos_256-0-0--6-15--983-29423.png,train
41,0.0,_F_90silos_256-0-0--6-15--983-29423.png,train
42,0.0,_F_180silos_256-0-0--6-15--983-29423.png,train
43,0.0,_F_270silos_256-0-0--6-15--983-29423.png,train
44,0.0,_T_0silos_256-0-0--6-15--983-29423.png,train
45,0.0,_T_90silos_256-0-0--6-15--983-29423.png,train
46,0.0,_T_180silos_256-0-0--6-15--983-29423.png,train
47,0.0,_T_270silos_256-0-0--6-15--983-29423.png,train
48,0.0,_F_0silos_256-0-0--6-15-297-30674.png,train
49,0.0,_F_90silos_256-0-0--6-15-297-30674.png,train
50,0.0,_F_180silos_256-0-0--6-15-297-30674.png,train
51,0.0,_F_270silos_256-0-0--6-15-297-30674.png,train
52,0.0,_T_0silos_256-0-0--6-15-297-30674.png,train
53,0.0,_T_90silos_256-0-0--6-15-297-30674.png,train
54,0.0,_T_180silos_256-0-0--6-15-297-30674.png,train
55,0.0,_T_270silos_256-0-0--6-15-297-30674.png,train
56,0.0,_F_0silos_256-0-0--6-15--959-30500.png,train
57,0.0,_F_90silos_256-0-0--6-15--959-30500.png,train
58,0.0,_F_180silos_256-0-0--6-15--959-30500.png,train
59,0.0,_F_270silos_256-0-0--6-15--959-30500.png,train
60,0.0,_T_0silos_256-0-0--6-15--959-30500.png,train
61,0.0,_T_90silos_256-0-0--6-15--959-30500.png,train
62,0.0,_T_180silos_256-0-0--6-15--959-30500.png,train
63,0.0,_T_270silos_256-0-0--6-15--959-30500.png,train
64,0.0,_F_0silos_256-0-0--6-14-1590-30822.png,train
65,0.0,_F_90silos_256-0-0--6-14-1590-30822.png,train
66,0.0,_F_180silos_256-0-0--6-14-1590-30822.png,train
67,0.0,_F_270silos_256-0-0--6-14-1590-30822.png,train
68,0.0,_T_0silos_256-0-0--6-14-1590-30822.png,train
